name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Cars,GC,2006.0,Racing,THQ,Rainbow Studios,0.72,0.19,0.0,71.0,7
Build-A-Bear Workshop,DS,2007.0,Simulation,Game Factory,Neko Entertainment,0.85,0.01,0.0,61.0,4.8
Kingdom Hearts Re:coded,DS,2010.0,Role-Playing,Square Enix,"Square Enix, h.a.n.d. Inc.",0.53,0.09,0.27,66.0,7
Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,Codemasters,Codemasters,0.36,0.45,0.02,77.0,7.8
Inazuma Eleven 3,DS,2010.0,Role-Playing,Level 5,,0.0,0.0,0.93,,
Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.37,0.4,0.0,73.0,7.1
Wipeout: In The Zone,X360,2011.0,Misc,Activision,Activision,0.87,0.0,0.0,39.0,5.6
SnoCross Championship Racing,PS,1999.0,Racing,Ubisoft,UDS,0.52,0.35,0.0,66.0,tbd
Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,Ubisoft,Gearbox Software,0.44,0.34,0.0,76.0,8
The LEGO Movie Videogame,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.33,0.43,0.02,80.0,6.8
Assassin's Creed III,PC,2012.0,Action,Ubisoft,Ubisoft,0.28,0.53,0.0,80.0,6.2
Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,Gearbox Software,0.42,0.41,0.0,89.0,8.2
Teenage Mutant Ninja Turtles,PS2,2003.0,Action,Konami Digital Entertainment,KCE Studios,0.45,0.35,0.0,59.0,8.7
Disney Magical World,3DS,2013.0,Adventure,Nintendo,h.a.n.d. Inc.,0.17,0.2,0.53,71.0,7.5
Top Gun: Combat Zones,PS2,2001.0,Simulation,Titus,Titus Software,0.45,0.35,0.0,63.0,3.3
NCAA Football 11,X360,2010.0,Sports,Electronic Arts,EA Tiburon,0.86,0.0,0.0,86.0,7.1
007: The World is not Enough,PS,2000.0,Action,Electronic Arts,Black Ops Entertainment,0.51,0.35,0.0,61.0,6.7
Cars,Wii,2006.0,Racing,THQ,Rainbow Studios,0.83,0.03,0.0,65.0,tbd
Monster High: Ghoul Spirit,DS,2011.0,Misc,THQ,ImaginEngine,0.69,0.16,0.0,,tbd
Phoenix Wright: Ace Attorney,DS,2005.0,Adventure,Capcom,Capcom,0.44,0.05,0.39,81.0,9.2
MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,SCEA San Diego Studios,0.68,0.08,0.0,80.0,7.8
South Park: The Stick of Truth,PS3,2014.0,Role-Playing,Ubisoft,Obsidian Entertainment,0.43,0.34,0.0,85.0,8.5
South Park: The Stick of Truth,X360,2014.0,Role-Playing,Ubisoft,Obsidian Entertainment,0.58,0.26,0.0,82.0,8.4
NHL 98,PS,1997.0,Sports,Electronic Arts,,0.51,0.35,0.0,,
Space Jam,PS,1996.0,Sports,Acclaim Entertainment,,0.51,0.35,0.0,,
Balloon Fight,NES,1985.0,Platform,Nintendo,,0.39,0.09,0.43,,
Knockout Kings 2000,N64,1999.0,Fighting,Electronic Arts,,0.63,0.27,0.0,,
MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,SCEA San Diego Studios,0.86,0.0,0.0,87.0,7.5
SpongeBob SquarePants: The Yellow Avenger,PSP,2006.0,Action,THQ,Tantalus Interactive,0.55,0.21,0.0,48.0,6.4
Dante's Inferno,X360,2010.0,Action,Electronic Arts,Visceral Games,0.63,0.2,0.02,73.0,7.7
Wii Play: Motion,Wii,2011.0,Misc,Nintendo,Nintendo,0.23,0.42,0.18,60.0,6.1
WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,Yuke's,0.58,0.26,0.0,79.0,7.1
Sonic Riders,GC,2006.0,Racing,Sega,Sonic Team,0.71,0.18,0.0,59.0,8
Starsky & Hutch,PS2,2003.0,Racing,Empire Interactive,,0.45,0.35,0.0,,
Tobal No.1,PS,1996.0,Fighting,Sony Computer Entertainment,,0.12,0.08,0.66,,
Blue Dragon,X360,2006.0,Role-Playing,Microsoft Game Studios,"Mistwalker, Artoon",0.3,0.32,0.21,79.0,7.8
Buzz! Quiz World,PS3,2009.0,Misc,Sony Computer Entertainment,,0.16,0.57,0.0,,
Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,Marvelous Entertainment,Marvelous AQL,0.41,0.17,0.3,74.0,8.2
Kung Fu Panda,Wii,2008.0,Action,Activision,Xpec,0.5,0.32,0.0,70.0,6.7
Street Hoops,PS2,2002.0,Sports,Activision,,0.45,0.35,0.0,,
EA Sports Grand Slam Tennis,Wii,2009.0,Sports,Electronic Arts,,0.28,0.51,0.02,,
EA Sports Active 2,PS3,2010.0,Sports,Electronic Arts,EA Canada,0.52,0.27,0.0,78.0,5.4
Nickelodeon Fit,Wii,2010.0,Sports,Take-Two Interactive,High Voltage Software,0.76,0.09,0.0,,tbd
Knockout Kings 2002,PS2,2002.0,Sports,Electronic Arts,Electronic Arts,0.45,0.35,0.0,76.0,8.1
Injustice: Gods Among Us,PS4,2013.0,Fighting,Warner Bros. Interactive Entertainment,,0.46,0.3,0.0,,
Tom Clancy's EndWar,X360,2008.0,Strategy,Ubisoft,Ubisoft Shanghai,0.58,0.24,0.01,77.0,7.2
LEGO Harry Potter: Years 5-7,PS3,,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,0.36,0.41,0.0,76.0,8.3
Tokyo Xtreme Racer 3,PS2,2003.0,Racing,Genki,Genki,0.35,0.27,0.21,63.0,8.9
Xenoblade Chronicles,Wii,2010.0,Role-Playing,Nintendo,Monolith Soft,0.43,0.25,0.16,92.0,8.9
Assassin's Creed,PC,2008.0,Adventure,Ubisoft,,0.01,0.83,0.0,,
Glover,N64,1998.0,Platform,Hasbro Interactive,,0.72,0.17,0.0,,
Colin McRae Rally 2.0,PS,2000.0,Racing,Codemasters,Codemasters,0.02,0.8,0.02,90.0,8.7
Dynasty Warriors 7,PS3,2011.0,Action,Tecmo Koei,Omega Force,0.25,0.13,0.46,57.0,7.4
NBA 2K14,XOne,2013.0,Sports,Take-Two Interactive,Visual Concepts,0.7,0.11,0.0,86.0,5.7
Namco Museum,XB,,Misc,Unknown,Mass Media,0.77,0.11,0.0,59.0,tbd
SSX,PS3,2012.0,Sports,Electronic Arts,EA Canada,0.35,0.41,0.02,81.0,6.8
Sonic Riders: Zero Gravity,Wii,2008.0,Racing,Sega,Sonic Team,0.48,0.32,0.02,56.0,8.1
AMF Bowling Pinbusters!,Wii,2007.0,Sports,Bethesda Softworks,,0.84,0.0,0.0,,
Super Momotarou Dentetsu III,SNES,1994.0,Simulation,Hudson Soft,,0.0,0.0,0.91,,
Sonic Mega Collection Plus,XB,2004.0,Misc,Sega,Sonic Team,0.61,0.26,0.0,75.0,7.9
Operation Flashpoint: Dragon Rising,PS3,2009.0,Shooter,Codemasters,Codemasters,0.23,0.46,0.05,76.0,6.5
Tiger Woods PGA Tour 2002,PS2,2002.0,Sports,Electronic Arts,EA Sports,0.44,0.35,0.0,80.0,7.6
Lost Odyssey,X360,2007.0,Role-Playing,Microsoft Game Studios,Mistwalker,0.45,0.26,0.11,78.0,8.3
Street Fighter V,PS4,2016.0,Fighting,Capcom,Capcom,0.4,0.28,0.08,77.0,3.4
Just Cause 3,XOne,2015.0,Action,Square Enix,Avalanche Studios,0.44,0.39,0.0,71.0,7
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996.0,Racing,ASCII Entertainment,,0.0,0.0,0.9,,
MLB 2005,PS2,2004.0,Sports,Sony Computer Entertainment,989 Sports,0.44,0.35,0.0,78.0,7.6
Marvel: Ultimate Alliance 2,X360,2009.0,Role-Playing,Activision,Vicarious Visions,0.68,0.15,0.0,73.0,7.3
Burnout Revenge,PS2,2005.0,Racing,Electronic Arts,Criterion Games,0.75,0.03,0.0,90.0,8.8
Crysis 3,X360,2013.0,Shooter,Electronic Arts,Crytek,0.51,0.31,0.01,76.0,6.7
Far Cry 4,X360,2014.0,Shooter,Ubisoft,Ubisoft Montreal,0.45,0.37,0.0,,7
The Witcher 2: Assassins of Kings,X360,2012.0,Action,Namco Bandai Games,CD Projekt Red Studio,0.48,0.32,0.02,88.0,8.3
Homefront,PS3,2011.0,Shooter,THQ,Kaos Studios,0.32,0.39,0.04,70.0,5.7
Destruction Derby,PS,1995.0,Racing,Psygnosis,,0.5,0.34,0.0,,
LEGO Jurassic World,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.32,0.42,0.02,70.0,7
Avatar: The Game,PS3,2009.0,Action,Ubisoft,,0.32,0.42,0.0,,
The Elder Scrolls Online,PC,2014.0,Role-Playing,Bethesda Softworks,ZeniMax Media,0.32,0.51,0.0,71.0,5.7
3Xtreme,PS,1999.0,Action,989 Studios,,0.5,0.34,0.0,,
Hot Shots Tennis,PS2,2006.0,Sports,Sony Computer Entertainment,Clap Hanz,0.17,0.13,0.55,70.0,8.1
MX vs. ATV Reflex,PS3,2009.0,Racing,THQ,Rainbow Studios,0.52,0.25,0.0,74.0,7.4
Madden NFL 25,PS4,2013.0,Sports,Electronic Arts,EA Sports,0.63,0.13,0.0,74.0,5.2
Sonic Heroes,XB,2003.0,Platform,Sega,Sonic Team,0.41,0.43,0.01,73.0,7.6
Madden NFL 99,N64,1998.0,Sports,Electronic Arts,,0.84,0.05,0.0,,
Spider-Man 3,PS2,2007.0,Platform,Activision,Vicarious Visions,0.74,0.03,0.01,50.0,6.5
James Bond 007: Agent Under Fire,XB,2002.0,Shooter,Electronic Arts,Electronic Arts,0.65,0.22,0.0,71.0,7.5
LEGO Pirates of the Caribbean: The Video Game,DS,2011.0,Action,Disney Interactive Studios,Traveller's Tales,0.34,0.46,0.0,69.0,tbd
LEGO Marvel Super Heroes,3DS,2013.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.42,0.36,0.04,61.0,5.2
DJ Hero,PS3,2009.0,Misc,Activision,FreeStyleGames,0.42,0.34,0.0,86.0,7.8
Skylanders: Trap Team,X360,2014.0,Action,Activision,Toys for Bob,0.54,0.27,0.0,,tbd
X-Men Legends,XB,2004.0,Role-Playing,Activision,Raven Software,0.62,0.24,0.0,82.0,8.5
NBA Live 2005,XB,2004.0,Sports,Electronic Arts,EA Canada,0.81,0.05,0.0,85.0,7.6
Harry Potter: Quidditch World Cup,PS2,2003.0,Sports,Electronic Arts,Magic Pockets,0.44,0.34,0.0,68.0,6.6
LEGO The Lord of the Rings,Wii,2012.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.48,0.34,0.0,,7.2
Madagascar,GBA,2005.0,Platform,Activision,Vicarious Visions,0.62,0.24,0.0,71.0,tbd
Blitz: The League,PS2,2005.0,Sports,Unknown,Midway,0.74,0.03,0.0,76.0,8
The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,THQ,Blitz Games Studios,0.73,0.1,0.0,68.0,tbd
Castlevania: Circle of the Moon,GBA,2001.0,Platform,Konami Digital Entertainment,KCEK,0.6,0.22,0.05,91.0,8.5
SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,Sony Computer Entertainment,Zipper Interactive,0.66,0.11,0.04,67.0,6.3
Tiger Woods PGA Tour 06,PS2,2005.0,Sports,Electronic Arts,EA Sports,0.74,0.03,0.0,83.0,6.2
FIFA Street,X360,2012.0,Sports,Electronic Arts,EA Sports,0.17,0.62,0.0,77.0,6.7
Classic NES Series: The Legend of Zelda,GBA,2004.0,Adventure,Nintendo,Nintendo,0.46,0.17,0.24,84.0,8.6
Fire Emblem: The Sacred Stones,GBA,2004.0,Strategy,Nintendo,Intelligent Systems,0.42,0.16,0.3,85.0,9.1
Cars 2,Wii,2011.0,Racing,Disney Interactive Studios,,0.43,0.37,0.0,,
TouchMaster 2,DS,2008.0,Puzzle,Midway Games,Midway Studios - San Diego,0.3,0.49,0.0,76.0,tbd
Pokemon Card GB2: Here Comes Team GR!,GB,2001.0,Strategy,Nintendo,,0.0,0.0,0.89,,
MLB 16: The Show,PS4,2016.0,Action,Sony Computer Entertainment,,0.72,0.0,0.0,,
Killzone: Liberation,PSP,2006.0,Shooter,Sony Computer Entertainment,Guerrilla,0.44,0.27,0.0,77.0,8.3
Finding Nemo,GC,2003.0,Action,THQ,Traveller's Tales,0.69,0.18,0.0,62.0,5.5
Lego Batman 3: Beyond Gotham,X360,2014.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.48,0.33,0.0,,6.8
Ace Combat 2,PS,1997.0,Simulation,Sony Computer Entertainment,Namco,0.16,0.11,0.56,83.0,8.2
NFL 2K2,PS2,2001.0,Sports,Sega,Visual Concepts,0.44,0.34,0.0,85.0,7.5
Pure,PS3,2008.0,Racing,Disney Interactive Studios,Black Rock Studio,0.42,0.33,0.0,83.0,7.8
We Ski & Snowboard,Wii,2008.0,Sports,Atari,,0.38,0.29,0.15,,
Resistance: Retribution,PSP,2009.0,Shooter,Sony Computer Entertainment,Sony Bend,0.27,0.35,0.05,81.0,8.1
Call of Duty: World at War,DS,2008.0,Shooter,Activision,n-Space,0.56,0.25,0.0,75.0,7.8
Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,Electronic Arts,Electronic Arts,0.52,0.25,0.0,80.0,7.3
CSI: Hard Evidence,Wii,2008.0,Adventure,Ubisoft,,0.36,0.43,0.0,,
MLB 2001,PS,2000.0,Sports,Sony Computer Entertainment,,0.49,0.34,0.0,,
The Jak and Daxter Collection,PS3,2012.0,Platform,Sony Computer Entertainment,,0.6,0.18,0.0,,
FIFA Soccer 09 All-Play,Wii,2008.0,Sports,Electronic Arts,EA Canada,0.28,0.51,0.0,80.0,8.4
SingStar Anthems,PS2,2006.0,Misc,Sony Computer Entertainment,,0.0,0.68,0.0,,
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009.0,Action,Activision,Traveller's Tales,0.47,0.29,0.0,70.0,7.1
Seiken Densetsu 3,SNES,1995.0,Role-Playing,SquareSoft,,0.0,0.0,0.89,,
Fossil Fighters,DS,2008.0,Role-Playing,Nintendo,RED Entertainment,0.83,0.0,0.0,70.0,7.9
Buzz! Quiz TV,PS3,2008.0,Misc,Sony Computer Entertainment,,0.28,0.47,0.0,,
NCAA Football 13,PS3,2012.0,Action,Electronic Arts,EA Tiburon,0.82,0.0,0.0,79.0,4.1
Samba De Amigo,Wii,2008.0,Misc,Sega,Gearbox Software,0.41,0.37,0.01,68.0,8.1
Mega Man 8 Anniversary Collector's Edition,PS,1996.0,Platform,Capcom,,0.44,0.3,0.09,,
The Simpsons Game,PS3,2007.0,Action,Electronic Arts,EA Redwood Shores,0.38,0.36,0.0,71.0,7.5
Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,Infinity Ward,0.01,0.79,0.0,86.0,4.2
The Tomb Raider Trilogy,PS3,2011.0,Action,Square Enix,Crystal Dynamics,0.27,0.46,0.0,78.0,8.1
F1 2010,X360,2010.0,Racing,Codemasters,Codemasters Birmingham,0.18,0.59,0.01,84.0,7.5
Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,Ubisoft,Techland,0.35,0.37,0.01,78.0,7.8
Minecraft: Story Mode,X360,2015.0,Adventure,Mojang,,0.48,0.33,0.0,,
Rhythm Heaven,Wii,,Misc,Unknown,,0.11,0.0,0.77,,
NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,Visual Concepts,0.43,0.34,0.0,84.0,8.3
Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,Square Enix,Square Enix,0.21,0.12,0.46,78.0,8.3
Buzz! The Mega Quiz,PS2,2007.0,Misc,Sony Computer Entertainment,,0.32,0.06,0.0,,
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996.0,Shooter,CTO SpA,,0.49,0.33,0.0,,
Monster 4X4: World Circuit,Wii,2006.0,Racing,Ubisoft,Ubisoft,0.8,0.0,0.01,51.0,7.8
Far Cry: Primal,XOne,2016.0,Action,Ubisoft,Ubisoft Montreal,0.47,0.33,0.0,77.0,6.4
Resident Evil: Revelations,3DS,2012.0,Action,Capcom,Capcom,0.3,0.22,0.3,82.0,8.5
Sonic Chronicles: The Dark Brotherhood,DS,2008.0,Role-Playing,Sega,BioWare,0.5,0.29,0.01,74.0,7.3
Star Wars: The Force Unleashed,DS,2008.0,Action,LucasArts,n-Space,0.5,0.28,0.0,61.0,5.5
Grand Theft Auto IV,PC,2008.0,Action,Take-Two Interactive,Rockstar Toronto,0.01,0.79,0.0,90.0,6.6
Rock Band 3,X360,2010.0,Misc,MTV Games,Harmonix Music Systems,0.73,0.09,0.0,93.0,8.2
WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,THQ,Yuke's,0.44,0.35,0.0,75.0,7.6
ESPN NHL 2K5,PS2,2004.0,Sports,Global Star,Kush Games,0.43,0.33,0.0,86.0,8.1
Borderlands: The Handsome Collection,PS4,2015.0,Shooter,Take-Two Interactive,Gearbox Software,0.38,0.33,0.03,82.0,7.8
Crimson Skies: High Road to Revenge,XB,2003.0,Simulation,Microsoft Game Studios,FASA Studio,0.65,0.19,0.0,88.0,8.8
Madden NFL 08,Wii,2007.0,Sports,Electronic Arts,EA Tiburon,0.8,0.0,0.0,76.0,6.8
Spec Ops: Ranger Elite,PS,2001.0,Shooter,TalonSoft,Runecraft,0.49,0.33,0.0,48.0,6.6
Gex,PS,1995.0,Platform,Crystal Dynamics,,0.49,0.33,0.0,,
F1 2009,Wii,2009.0,Racing,Codemasters,Sumo Digital,0.15,0.62,0.0,69.0,7.2
Derby Stallion II,SNES,1994.0,Sports,ASCII Entertainment,,0.0,0.0,0.87,,
Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,Ubisoft,Red Storm Entertainment,0.61,0.24,0.0,81.0,8.8
Sleeping Dogs,X360,2012.0,Action,Square Enix ,United Front Games,0.38,0.4,0.01,80.0,7.9
Kingdoms of Amalur: Reckoning,X360,2012.0,Role-Playing,Electronic Arts,Big Huge Games,0.55,0.24,0.01,80.0,7.7
Metal Gear Ac!d,PSP,2004.0,Strategy,Konami Digital Entertainment,,0.32,0.26,0.12,,
Need for Speed: V-Rally,PS,1997.0,Racing,Infogrames,,0.43,0.29,0.09,,
Monster Strike 3DS,3DS,2015.0,Action,"mixi, Inc",,0.0,0.0,0.87,,
Kingdom Hearts Re: Chain of Memories,PS2,2008.0,Role-Playing,Square Enix,Jupiter Corporation,0.73,0.03,0.0,68.0,7.2
Phantasy Star Portable 2,PSP,2009.0,Role-Playing,Sega,Alfa System,0.08,0.11,0.62,69.0,8.1
Peppa Pig: The Game,DS,2008.0,Misc,Pinnacle,,0.0,0.81,0.0,,
Michael Jackson: The Experience,X360,2011.0,Misc,Ubisoft,Ubisoft Montreal,0.62,0.18,0.0,63.0,6.8
NFL GameDay '97,PS,1996.0,Sports,Sony Computer Entertainment,,0.48,0.33,0.0,,
LittleBigPlanet Karting,PS3,2012.0,Action,Sony Computer Entertainment,"Media Molecule, United Front Games",0.42,0.3,0.01,73.0,6.9
Tony Hawk's Project 8,PS2,2006.0,Sports,Activision,Shaba Games,0.72,0.03,0.0,69.0,7.3
NHL 2000,PS,1998.0,Sports,Electronic Arts,,0.48,0.33,0.0,,
GRID,X360,2008.0,Racing,Codemasters,Codemasters,0.33,0.44,0.01,87.0,7.9
DiRT,X360,2007.0,Racing,Codemasters,Codemasters,0.38,0.4,0.0,83.0,7.4
Buzz! Master Quiz,PSP,2008.0,Misc,Sony Computer Entertainment,,0.2,0.44,0.0,,
Red Faction: Guerrilla,X360,2009.0,Shooter,THQ,Volition Inc.,0.48,0.29,0.01,85.0,8.1
Fight Night Round 2,PS2,2005.0,Fighting,Electronic Arts,EA Sports,0.72,0.03,0.0,88.0,9
Conflict: Desert Storm,XB,2002.0,Shooter,SCi,SCi,0.48,0.37,0.0,65.0,8.1
LEGO Jurassic World,X360,2015.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.47,0.32,0.0,,7.1
Triple Play 2002,PS2,2002.0,Sports,Electronic Arts,Pandemic Studios,0.43,0.33,0.0,65.0,tbd
Cooking Mama: World Kitchen,Wii,2008.0,Simulation,505 Games,Cooking Mama Limited,0.51,0.27,0.01,62.0,4.9
Brothers in Arms: Hell's Highway,X360,2008.0,Shooter,Ubisoft,Gearbox Software,0.47,0.3,0.0,76.0,8.3
Vagrant Story,PS,2000.0,Role-Playing,Crave Entertainment,SquareSoft,0.3,0.2,0.3,92.0,8.3
Warriors Orochi,PS2,2007.0,Action,Tecmo Koei,Omega Force,0.11,0.09,0.64,55.0,8.2
Enduro,2600,1982.0,Misc,Quelle,,0.81,0.05,0.0,,
Crysis 3,PS3,2013.0,Shooter,Electronic Arts,Crytek,0.26,0.42,0.03,77.0,6.3
Mercenaries 2: World in Flames,PS3,2008.0,Shooter,Electronic Arts,Pandemic Studios,0.29,0.39,0.02,72.0,7.1
SingStar '90s,PS2,2007.0,Misc,Sony Computer Entertainment,SCEE,0.1,0.59,0.0,73.0,tbd
Wizards of Waverly Place,DS,2009.0,Misc,Disney Interactive Studios,Disney Interactive Studios,0.59,0.2,0.0,58.0,tbd
Ghostbusters: The Video Game,Wii,2009.0,Action,Atari,Red Fly Studio,0.59,0.2,0.0,76.0,8.5
Dragon Quest VIII: Journey of the Cursed King,3DS,2015.0,Role-Playing,Square Enix,Cygames,0.0,0.0,0.86,,
Beijing 2008,PS3,2008.0,Sports,Sega,,0.14,0.54,0.01,,
Guitar Hero Live,PS4,2015.0,Misc,Activision,FreeStyleGames,0.34,0.38,0.0,80.0,6.2
Endless Ocean: Blue World,Wii,2009.0,Simulation,Nintendo,Arika,0.46,0.21,0.12,76.0,8.5
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006.0,Sports,Konami Digital Entertainment,KCET,0.01,0.72,0.12,81.0,8.3
Rocky,PS2,2002.0,Fighting,Rage Software,Rage Software,0.42,0.33,0.0,74.0,8.4
Ford Racing,PS,2001.0,Racing,Empire Interactive,Toolbox Design,0.48,0.33,0.0,53.0,5.8
Madden Football 64,N64,1997.0,Sports,Electronic Arts,,0.81,0.04,0.0,,
Guitar Hero: Warriors of Rock,X360,2010.0,Misc,Activision,Neversoft Entertainment,0.47,0.31,0.0,72.0,6.5
MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,,0.48,0.32,0.0,,
Lemmings,PSP,2006.0,Puzzle,Sony Computer Entertainment,Team 17,0.12,0.51,0.0,76.0,7.9
Dynasty Warriors 4: Xtreme Legends,PS2,2003.0,Action,Tecmo Koei,Omega Force,0.17,0.13,0.51,72.0,9.1
Pictionary,Wii,2010.0,Puzzle,THQ,Page 44 Studios,0.6,0.19,0.0,71.0,tbd
Army Men: Air Attack,PS,1999.0,Action,3DO,,0.47,0.32,0.0,,
FIFA Soccer 08,DS,2007.0,Sports,Electronic Arts,,0.1,0.65,0.0,,
2010 FIFA World Cup South Africa,X360,2010.0,Sports,Electronic Arts,Electronic Arts,0.32,0.42,0.02,83.0,8.1
Tomb Raider: Anniversary,Wii,2007.0,Action,Eidos Interactive,Crystal Dynamics,0.12,0.62,0.0,73.0,7.3
NBA 2K8,X360,2007.0,Sports,Take-Two Interactive,Visual Concepts,0.79,0.0,0.0,81.0,7
Street Fighter Alpha 2,PS,1996.0,Fighting,Virgin Interactive,,0.14,0.09,0.57,,
Tiger Woods PGA Tour 2005,XB,2004.0,Sports,Electronic Arts,EA Sports,0.64,0.18,0.0,88.0,8.9
Castlevania III: Dracula's Curse,NES,1989.0,Platform,Konami Digital Entertainment,,0.4,0.07,0.37,,
LEGO Jurassic World,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.35,0.36,0.0,,7.4
Kingdoms of Amalur: Reckoning,PS3,2012.0,Role-Playing,Electronic Arts,Big Huge Games,0.37,0.29,0.09,81.0,7.6
Rampage World Tour,PS,1997.0,Action,GT Interactive,,0.47,0.32,0.0,,
Dragon Ball Z: Burst Limit,PS3,2008.0,Fighting,Atari,"Dimps Corporation, Namco Bandai Games",0.22,0.33,0.18,71.0,7.2
Gold's Gym: Dance Workout,Wii,2010.0,Sports,Ubisoft,Land Ho!,0.69,0.1,0.0,,tbd
Tekken Tag Tournament 2,PS3,2012.0,Fighting,Namco Bandai Games,Namco Bandai Games,0.28,0.31,0.13,82.0,8.2
Ninja Gaiden Sigma 2,PS3,2009.0,Action,Ubisoft Annecy,Team Ninja,0.52,0.16,0.08,83.0,7.7
Ratatouille,PS2,2007.0,Action,THQ,Asobo Studio,0.31,0.0,0.0,65.0,8
NFL GameDay,PS,1995.0,Sports,Sony Computer Entertainment,,0.47,0.32,0.0,,
Burnout 2: Point of Impact,PS2,2002.0,Racing,Acclaim Entertainment,Criterion Games,0.42,0.32,0.0,86.0,8.2
Wii Fit U,WiiU,2013.0,Sports,Nintendo,Nintendo,0.35,0.23,0.21,72.0,7.7
Street Fighter EX3,PS2,2000.0,Fighting,Virgin Interactive,Arika,0.32,0.25,0.2,64.0,7.9
The Legendary Starfy,DS,2008.0,Platform,Nintendo,TOSE,0.6,0.0,0.2,75.0,8.4
NCAA Football 11,PS3,2010.0,Sports,Electronic Arts,EA Tiburon,0.79,0.0,0.0,85.0,7.4
The House of the Dead: Overkill,Wii,2009.0,Shooter,Sega,Headstrong Games,0.44,0.3,0.02,78.0,8.7
Army of Two: The 40th Day,PS3,2010.0,Shooter,Electronic Arts,EA Montreal,0.44,0.27,0.01,74.0,7
Darksiders II,PS3,2012.0,Action,THQ,Vigil Games,0.35,0.35,0.01,84.0,7.1
Spider-Man 2,GC,2004.0,Action,Activision,Treyarch,0.65,0.17,0.0,80.0,8.8
The Lord of the Rings: War in the North,X360,,Action,Warner Bros. Interactive Entertainment,Snowblind Studios,0.52,0.24,0.0,61.0,7.4
 Tales of Xillia 2,PS3,2012.0,Role-Playing,Namco Bandai Games,Bandai Namco Games,0.2,0.12,0.45,71.0,7.9
Ghostbusters: The Video Game,PS3,2009.0,Action,Sony Computer Entertainment,Terminal Reality,0.34,0.36,0.0,78.0,7.9
The Incredibles,GC,2004.0,Action,THQ,Heavy Iron Studios,0.65,0.17,0.0,63.0,7.1
Xenoblade Chronicles X,WiiU,2015.0,Role-Playing,Nintendo,Monolith Soft,0.36,0.28,0.14,84.0,8.9
NBA 2K10,PS3,2009.0,Sports,Take-Two Interactive,Visual Concepts,0.75,0.01,0.01,83.0,7.8
Petz Dogz Fashion,DS,2008.0,Simulation,Ubisoft,Ubisoft,0.46,0.3,0.0,,tbd
ATV Quad Power Racing 2,PS2,2003.0,Racing,Acclaim Entertainment,Acclaim,0.41,0.32,0.0,68.0,tbd
Final Fantasy,NES,1987.0,Role-Playing,SquareSoft,,0.32,0.0,0.52,,
Skate 2,PS3,2009.0,Sports,Electronic Arts,EA Black Box,0.46,0.25,0.01,84.0,7.8
Rocket Power: Team Rocket Rescue,PS,2001.0,Sports,THQ,,0.47,0.32,0.0,,
Big Mutha Truckers,PS2,2002.0,Racing,Empire Interactive,Eutechnyx,0.41,0.32,0.0,62.0,5.3
The Evil Within,PS3,2014.0,Action,Bethesda Softworks,Tango Gameworks,0.26,0.34,0.13,,7.6
Rogue Galaxy,PS2,2005.0,Role-Playing,Sony Computer Entertainment,Level 5,0.24,0.16,0.39,83.0,8.4
ESPN College Hoops 2K5,PS2,2004.0,Sports,Sega,Visual Concepts,0.41,0.32,0.0,86.0,8.1
NCAA Football 14,PS3,2013.0,Sports,Electronic Arts,EA Tiburon,0.75,0.0,0.0,77.0,6.2
Harry Potter and the Order of the Phoenix,DS,2007.0,Action,Electronic Arts,Visual Impact,0.28,0.46,0.0,51.0,4.9
Sniper Elite V2,X360,2012.0,Shooter,505 Games,Rebellion,0.46,0.28,0.02,67.0,6.8
